Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.53015E-3,77.876435185,0.823857703,0.004489226,0.757575758,0
3.57591E-3,78.234026062,0.825718765,0.004389465,0.757575758,0
3.61075E-3,78.595101143,0.827109741,0.004289705,0.765151515,0
3.65377E-3,78.96047796,0.828796765,0.004189944,0.772727273,0
3.74011E-3,79.334489014,0.832085429,0.004090184,0.78030303,0
3.75436E-3,79.709925472,0.832616234,0.003990423,0.787878788,0
3.78095E-3,80.088020561,0.833597364,0.003890662,0.795454545,0
3.80003E-3,80.468023678,0.834294435,0.003790902,0.803030303,0
3.82129E-3,80.850152749,0.835064275,0.003691141,0.803030303,0
3.89897E-3,81.240049294,0.837817201,0.003591381,0.810606061,0
3.90561E-3,81.630610106,0.838048369,0.00349162,0.810606061,0
3.9896E-3,82.029570064,0.840915473,0.00339186,0.818181818,0
4.08415E-3,82.437985083,0.844023934,0.003292099,0.818181818,0
4.09061E-3,82.847046067,0.844231875,0.003192338,0.818181818,0
4.17612E-3,83.264658333,0.846933255,0.003092578,0.825757576,0
4.1886E-3,83.683518304,0.847319597,0.002992817,0.833333333,0
4.26097E-3,84.109615587,0.849522659,0.002893057,0.840909091,0
4.27745E-3,84.537361031,0.850015506,0.002793296,0.848484848,0
4.39527E-3,84.97688788,0.853446614,0.002693536,0.856060606,0
4.40972E-3,85.417859865,0.853856704,0.002593775,0.856060606,0
4.41892E-3,85.859751517,0.854116487,0.002494014,0.863636364,0
4.55424E-3,86.315175883,0.85783508,0.002394254,0.871212121,0
4.66262E-3,86.781438193,0.860679216,0.002294493,0.878787879,0
5.07575E-3,87.289013261,0.870550963,0.002194733,0.886363636,0
5.1113E-3,87.800143481,0.871335495,0.002094972,0.893939394,0
5.18715E-3,88.318858942,0.872977983,0.001995211,0.901515152,0
5.23757E-3,88.842615703,0.874046611,0.001895451,0.909090909,0
5.27431E-3,89.370046732,0.874814204,0.00179569,0.909090909,0
5.35261E-3,89.90530736,0.876419078,0.00169593,0.916666667,0
5.35565E-3,90.440872515,0.876480668,0.001596169,0.916666667,0
5.35804E-3,90.976676032,0.876528833,0.001496409,0.924242424,0
5.36017E-3,91.512693418,0.876572017,0.001396648,0.924242424,0
5.36395E-3,92.049088461,0.876648199,0.001296887,0.931818182,0
5.79582E-3,92.628670097,0.884780536,0.001197127,0.931818182,0
5.82523E-3,93.211193091,0.885295586,0.001097366,0.931818182,0
5.93992E-3,93.805184848,0.887260608,0.000997606,0.931818182,0
5.97578E-3,94.402763328,0.8878614,0.000897845,0.939393939,0
5.98049E-3,95.000812394,0.88793975,0.000798085,0.946969697,0
6.35503E-3,95.636315623,0.893843054,0.000698324,0.954545455,0
6.73485E-3,96.309800513,0.899226541,0.000598563,0.962121212,0
6.80578E-3,96.990378588,0.900171983,0.000498803,0.96969697,0
6.95983E-3,97.686361378,0.90216538,0.000399042,0.977272727,0
7.57448E-3,98.443809762,0.909385085,0.000299282,0.984848485,0
7.75862E-3,99.219671964,0.91134502,0.000199521,0.992424242,0
7.80328E-3,100,0.911807648,0.000099761,0.992424242,0
7.80328E-3,100,0.911807648,0,0.992424242,0
